sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; selectionMethodForSimulationMCTS; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; maxStepsForSimulationMCTS; simulationDepthChargeMCTS; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;
;;;;;;;;;;;;;;;;;;;6;102;43;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.272727272727273;43.18182_4.54545_13.63636_2.27273_31.81818_2.27273_0.0_2.27273;0;
;;;;;;;;;;;;;;;;;;;6;103;37;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.6315789473684212;44.73684_0.0_21.05263_0.0_31.57895_0.0_0.0_2.63158;0;
;;;;;;;;;;;;;;;;;;;6;104;42;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;48.83721_0.0_16.27907_0.0_34.88372_0.0_0.0_0.0;0;
;;;;;;;;;;;;;;;;;;;6;105;46;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;46.80851_0.0_17.02128_4.25532_25.53191_4.25532_2.12766_0.0;0;
;;;;;;;;;;;;;;;;;;;6;106;42;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;46.51163_0.0_18.60465_0.0_32.55814_0.0_2.32558_0.0;0;
;;;;;;;;;;;;;;;;;;;6;107;43;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;40.90909_2.27273_20.45455_2.27273_25.0_2.27273_6.81818_0.0;0;
;;;;;;;;;;;;;;;;;;;6;108;41;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.380952380952381;45.2381_0.0_19.04762_0.0_33.33333_0.0_0.0_2.38095;0;
;;;;;;;;;;;;;;;;;;;6;109;43;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;45.45455_0.0_18.18182_2.27273_29.54545_0.0_4.54545_0.0;0;
;;;;;;;;;;;;;;;;;;;6;110;39;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.5;45.0_0.0_20.0_0.0_32.5_0.0_0.0_2.5;0;
;;;;;;;;;;;;;;;;;;;6;111;36;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;48.64865_2.7027_13.51351_2.7027_32.43243_0.0_0.0_0.0;0;
